,job,job_link,company,company_link
130,Documentation Expert,https://www.jobsnepal.com/job/documentation-expert/115438,Shangrila Microsystem Pvt.Ltd.,https://www.jobsnepal.com/employer/shangrila-microsystem-pvt-ltd/5206
131,Software Engineer (.Net),https://www.jobsnepal.com/job/software-engineer-net/115437,Shangrila Microsystem Pvt.Ltd.,https://www.jobsnepal.com/employer/shangrila-microsystem-pvt-ltd/5206
132,Software Architect,https://www.jobsnepal.com/job/software-architect/115436,Tekkon Technologies,https://www.jobsnepal.com/employer/tekkon-technologies/10859
133,Communications and Knowledge Management Specialist Consultant,https://www.jobsnepal.com/job/communications-and-knowledge-management-specialist-consultant/115433,CAMRIS International,https://www.jobsnepal.com/employer/camris-international/9296
134,Administrator,https://www.jobsnepal.com/job/administrator/115416,VA Group,https://www.jobsnepal.com/employer/va-group/9975
135,Android Developer / Paid Interns,https://www.jobsnepal.com/job/android-developer-paid-interns/115415,IT@Himalaya Pvt. Ltd.,https://www.jobsnepal.com/employer/it-himalaya-pvt-ltd/887
136,UI/UX Designer,https://www.jobsnepal.com/job/ui-ux-designer/115403,Inficare Pvt Ltd,https://www.jobsnepal.com/employer/inficare-pvt-ltd/2011
137,Sr. VUE JS Developer,https://www.jobsnepal.com/job/sr-vue-js-developer/115409,Shiran Technologies,https://www.jobsnepal.com/employer/shiran-technologies/7662
138,Business Analyst,https://www.jobsnepal.com/job/business-analyst/115408,Cogent Healthcare Pvt Ltd,https://www.jobsnepal.com/employer/cogent-healthcare-pvt-ltd/11083
139,Staff Physician (Medical Officer),https://www.jobsnepal.com/job/staff-physician-medical-officer/115406,Possible,https://www.jobsnepal.com/employer/possible/10948
140,Sr. Laravel Backend Developer,https://www.jobsnepal.com/job/sr-laravel-backend-developer/115405,Shiran Technologies,https://www.jobsnepal.com/employer/shiran-technologies/7662
141,"Internship (Animation, Content Writing, Video Jockeying, Web Development)",https://www.jobsnepal.com/job/internship-animation-content-writing-video-jockeying-web-development/115404,Rillmark Pvt. Ltd.,https://www.jobsnepal.com/employer/rillmark-pvt-ltd/7932
142,Sr. QA/QC,https://www.jobsnepal.com/job/sr-qa-qc/115402,Dryice Solutions Pvt. Ltd.,https://www.jobsnepal.com/employer/dryice-solutions-pvt-ltd/8383
143,Store Sales Person,https://www.jobsnepal.com/job/store-sales-person/115400,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
144,Dot Net Developer-Senior,https://www.jobsnepal.com/job/dot-net-developer-senior/115399,Prabhavana Information Technologies Pvt. Ltd.,https://www.jobsnepal.com/employer/prabhavana-information-technologies-pvt-ltd/11659
145,Android Developer,https://www.jobsnepal.com/job/android-developer/115389,Inficare Pvt Ltd,https://www.jobsnepal.com/employer/inficare-pvt-ltd/2011
